# action_alignments
Action #,Title,Declared Obj,Best Obj,Best Score,Classification,Is Orphan,Owner,Budget (LKR M)
1,Adjacent Land Acquisition Due Diligence & Negotiation,A,A,0.3153,Poor,True,Facilities & Projects Director (with Legal Counsel),35.0
2,Architectural Master Plan for 150-Bed Expansion,A,A,0.5391,Fair,False,Facilities & Projects Director,28.0
3,Cardiac Catheterisation Laboratory Feasibility & Equipment Specification,A,B,0.3877,Poor,True,Medical Director,12.0
4,Elderly Care Unit Pilot Programme Design,A,A,0.4913,Fair,False,Medical Director (with Director of Nursing),8.0
5,Aesthetic & Cosmetic Medicine Service Feasibility Study,A,A,0.4811,Fair,False,Medical Director (with Marketing Director),6.0
6,Fertility Centre Laboratory Upgrade Planning,A,A,0.5638,Fair,False,Medical Director (Fertility Centre Lead),10.0
7,Nephrology Service Development Roadmap,A,C,0.4275,Poor,True,Medical Director,5.0
8,Administrative Office Refurbishment Programme,A,A,0.395,Poor,True,Facilities & Projects Director,22.0
9,EHR Vendor Selection & Contract Negotiation,B,B,0.5901,Fair,False,Chief Information Officer (CIO),15.0
10,IT Infrastructure Assessment & Network Upgrade,B,B,0.6722,Good,False,CIO (with IT Department),45.0
11,Telemedicine Platform Requirements & Vendor Engagement,B,B,0.7203,Good,False,CIO (with International Unit Director),8.0
12,Cybersecurity Baseline Assessment & Policy Development,B,B,0.6431,Good,False,CIO,12.0
13,Establishment of Ethics Review Committee,C,B,0.4289,Poor,True,Medical Director,3.0
14,University Research Partnership MOU,C,C,0.6081,Good,False,Medical Director,4.0
15,Appointment of Research Coordinator,C,C,0.5402,Fair,False,HR Director (with Medical Director),4.0
16,Specialist Clinician Recruitment Drive,D,D,0.4921,Fair,False,HR Director (with Medical Director),18.0
17,Nursing Workforce Expansion Planning,D,D,0.5277,Fair,False,Director of Nursing (with HR Director),15.0
18,Continuing Professional Development (CPD) Programme Launch,D,D,0.7156,Good,False,Director of Nursing (with Medical Director),10.0
19,Annual Staff Cricket Tournament & Sports Sponsorship,D,E,0.3846,Poor,True,HR Director (with Marketing Director),8.0
20,Maldives Partnership Scoping & Negotiations,E,E,0.7032,Good,False,International Unit Director,14.0
21,Medical Tourism Concierge Unit Setup,E,E,0.6205,Good,False,International Unit Director (with Marketing Director),12.0
22,Community Preventive Health Screening Programme — Negombo Division,E,E,0.458,Fair,False,Marketing Director (with Medical Director),9.0
23,Corporate Wellness Partnership Expansion,E,E,0.5079,Fair,False,Marketing Director,7.0
24,Executive Lounge Furniture & Premium Décor Upgrade,E,A,0.3872,Poor,True,Facilities & Projects Director,18.0
25,Retail Pharmacy Outlet Expansion — Negombo Town Centre,E,A,0.3329,Poor,True,Finance Director (with Marketing Director),25.0

# objective_alignments
Code,Name,Mean Similarity,Max Similarity,Coverage,Aligned Actions,Declared Actions
A,Patient Care Excellence,0.404,0.5638,0.32,8,8
B,Digital Health Transformation,0.3961,0.7203,0.2,5,4
C,Research & Innovation,0.3707,0.6081,0.12,3,3
D,Workforce Development,0.3478,0.7156,0.16,4,4
E,Community & Regional Health Expansion,0.3945,0.7032,0.24,6,6

# improvements
Action #,Title,Declared Obj,Alignment Score,Confidence,Modified Desc,Strategic Linkage
1,Adjacent Land Acquisition Due Diligence & Negotiation,A,0.3153,MEDIUM,,
3,Cardiac Catheterisation Laboratory Feasibility & Equipment Specification,A,0.3877,MEDIUM,,
4,Elderly Care Unit Pilot Programme Design,A,0.4913,MEDIUM,,
5,Aesthetic & Cosmetic Medicine Service Feasibility Study,A,0.4811,MEDIUM,,
7,Nephrology Service Development Roadmap,A,0.4275,HIGH,"** Develop and implement a comprehensive nephrology service line, including a dialysis unit, to enhance patient care and outcomes in the Negombo-Gampaha region. This initiative aligns with Objective A: Patient Care Excellence by expanding hospital capacity and improving clinical services.

_KPIS:...","** This action directly supports Objective A: Patient Care Excellence by expanding hospital capacity, improving clinical services, and enhancing patient outcomes in nephrology care.

** HIGH

These..."
8,Administrative Office Refurbishment Programme,A,0.395,HIGH,"** Refurbish the administrative wing to enhance patient care coordination and support services, improving staff efficiency and effectiveness in delivering high-quality patient care. This project will also provide a modernized workspace for administrative staff, enabling them to better support cli...","** This project will enhance the administrative wing's capacity to support clinical teams in achieving Patient Care Excellence objectives, particularly A2 (Hospital-Acquired Infection rate below 2%..."
13,Establishment of Ethics Review Committee,C,0.4289,MEDIUM,,
16,Specialist Clinician Recruitment Drive,D,0.4921,HIGH,"** 
""Recruit and retain specialist clinicians required for the 2026 expansion through a targeted campaign, focusing on interventional cardiology, nephrology, geriatric medicine, reproductive medicine, and dermatological aesthetics. This effort will support Objective D: Workforce Development by in...","**
""This action directly supports Objective D: Workforce Development by increasing clinical staffing and enhancing our capacity to deliver world-class care across expanding service lines, which is..."
19,Annual Staff Cricket Tournament & Sports Sponsorship,D,0.3846,MEDIUM,,
22,Community Preventive Health Screening Programme — Negombo Division,E,0.458,MEDIUM,,
24,Executive Lounge Furniture & Premium Décor Upgrade,E,0.3872,MEDIUM,,
